lr,embed_dim,rnn_hidden_size,fc_hidden_size,num_layers,dropout_rate,val_accuracy
0.001,32,128,32,1,0.0,0.8635907723169508
0.001,32,128,32,1,0.3,0.8764292878635908
0.001,32,128,32,1,0.5,0.8686058174523571
0.001,32,128,32,2,0.0,0.8802407221664995
0.001,32,128,32,2,0.3,0.8814443329989969
0.001,32,128,32,2,0.5,0.8756268806419257
0.001,32,128,32,3,0.0,0.8776328986960883
0.001,32,128,32,3,0.3,0.7079237713139418
0.001,32,128,32,3,0.5,0.49628886659979937
0.001,32,128,64,1,0.0,0.8559679037111334
0.001,32,128,64,1,0.3,0.8597793380140422
0.001,32,128,64,1,0.5,0.8635907723169508
0.001,32,128,64,2,0.0,0.8844533600802407
0.001,32,128,64,2,0.3,0.8698094282848545
0.001,32,128,64,2,0.5,0.8744232698094283
0.001,32,128,64,3,0.0,0.49628886659979937
0.001,32,128,64,3,0.3,0.8732196589769308
0.001,32,128,64,3,0.5,0.8573721163490471
0.001,32,128,128,1,0.0,0.8802407221664995
0.001,32,128,128,1,0.3,0.879839518555667
0.001,32,128,128,1,0.5,0.8519558676028084
0.001,32,128,128,2,0.0,0.8828485456369107
0.001,32,128,128,2,0.3,0.8770310932798395
0.001,32,128,128,2,0.5,0.8848545636910732
0.001,32,128,128,3,0.0,0.8692076228686059
0.001,32,128,128,3,0.3,0.879839518555667
0.001,32,128,128,3,0.5,0.8415245737211635
0.001,64,32,32,1,0.0,0.8750250752256771
0.001,64,32,32,1,0.3,0.8716148445336008
0.001,64,32,32,1,0.5,0.8720160481444333
0.001,64,32,32,2,0.0,0.8625877632898696
0.001,64,32,32,2,0.3,0.8746238716148446
0.001,64,32,32,2,0.5,0.8722166499498496
0.001,64,32,32,3,0.0,0.8635907723169508
0.001,64,32,32,3,0.3,0.8756268806419257
0.001,64,32,32,3,0.5,0.8780341023069208
0.001,64,32,64,1,0.0,0.8712136409227683
0.001,64,32,64,1,0.3,0.8736208625877633
0.001,64,32,64,1,0.5,0.8674022066198596
0.001,64,32,64,2,0.0,0.8824473420260782
0.001,64,32,64,2,0.3,0.874222668004012
0.001,64,32,64,2,0.5,0.8834503510531595
0.001,64,32,64,3,0.0,0.8800401203610833
0.001,64,32,64,3,0.3,0.8710130391173521
0.001,64,32,64,3,0.5,0.8794383149448345
0.001,64,32,128,1,0.0,0.8688064192577734
0.001,64,32,128,1,0.3,0.8637913741223671
0.001,64,32,128,1,0.5,0.8589769307923771
0.001,64,32,128,2,0.0,0.8786359077231695
0.001,64,32,128,2,0.3,0.8732196589769308
0.001,64,32,128,2,0.5,0.8820461384152457
0.001,64,32,128,3,0.0,0.8782347041123371
0.001,64,32,128,3,0.3,0.8716148445336008
0.001,64,32,128,3,0.5,0.875827482447342
0.001,64,64,32,1,0.0,0.8794383149448345
0.001,64,64,32,1,0.3,0.874222668004012
0.001,64,64,32,1,0.5,0.8684052156469408
0.001,64,64,32,2,0.0,0.8832497492477432
0.001,64,64,32,2,0.3,0.8786359077231695
0.001,64,64,32,2,0.5,0.8627883650952859
0.001,64,64,32,3,0.0,0.8770310932798395
0.001,64,64,32,3,0.3,0.8740220661985958
0.001,64,64,32,3,0.5,0.8704112337011033
0.001,64,64,64,1,0.0,0.8812437311935808
0.001,64,64,64,1,0.3,0.8619859578736209
0.001,64,64,64,1,0.5,0.8784353059177532
0.001,64,64,64,2,0.0,0.8698094282848545
0.001,64,64,64,2,0.3,0.8633901705115345
0.001,64,64,64,2,0.5,0.883851554663992
0.001,64,64,64,3,0.0,0.8676028084252758
0.001,64,64,64,3,0.3,0.869408224674022
0.001,64,64,64,3,0.5,0.8559679037111334
0.001,64,64,128,1,0.0,0.8724172517552657
0.001,64,64,128,1,0.3,0.872617853560682
0.001,64,64,128,1,0.5,0.8856569709127382
0.001,64,64,128,2,0.0,0.885456369107322
0.001,64,64,128,2,0.3,0.8682046138415246
0.001,64,64,128,2,0.5,0.8690070210631896
0.001,64,64,128,3,0.0,0.8748244734202608
0.001,64,64,128,3,0.3,0.5317953861584754
0.001,64,64,128,3,0.5,0.8770310932798395
0.001,64,128,32,1,0.0,0.8708124373119358
0.001,64,128,32,1,0.3,0.877432296890672
0.001,64,128,32,1,0.5,0.8748244734202608
0.001,64,128,32,2,0.0,0.8750250752256771
0.001,64,128,32,2,0.3,0.8732196589769308
0.001,64,128,32,2,0.5,0.879037111334002
0.001,64,128,32,3,0.0,0.6974924774322969
0.001,64,128,32,3,0.3,0.8828485456369107
0.001,64,128,32,3,0.5,0.5412236710130391
0.001,64,128,64,1,0.0,0.883851554663992
0.001,64,128,64,1,0.3,0.882246740220662
0.001,64,128,64,1,0.5,0.8722166499498496
0.001,64,128,64,2,0.0,0.8874623871614844
0.001,64,128,64,2,0.3,0.8716148445336008
0.001,64,128,64,2,0.5,0.8613841524573721
0.001,64,128,64,3,0.0,0.8684052156469408
0.001,64,128,64,3,0.3,0.8593781344032096
0.001,64,128,64,3,0.5,0.8710130391173521
0.001,64,128,128,1,0.0,0.8710130391173521
0.001,64,128,128,1,0.3,0.8826479438314945
0.001,64,128,128,1,0.5,0.8784353059177532
0.001,64,128,128,2,0.0,0.8834503510531595
0.001,64,128,128,2,0.3,0.8866599799398195
0.001,64,128,128,2,0.5,0.8872617853560683
0.001,64,128,128,3,0.0,0.880641925777332
0.001,64,128,128,3,0.3,0.883049147442327
0.001,64,128,128,3,0.5,0.8649949849548646
